gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
CHST5	0.180437686775066	0.00101241651370185	0.001	0	1	KASUMI2	0.473012871632053	Expanded NK-treated
PPP4R3A	0.180475789355188	-0.00776193494150662	0.329	0.225	1	KASUMI2	0.473056938662601	Expanded NK-treated
AC025031.3	0.180528393176444	0.00256749679993227	0.006	0.001	1	KASUMI2	0.473139000967448	Expanded NK-treated
PTK7	0.18055855650259	0.00906237911241459	0.131	0.084	1	KASUMI2	0.473162237534565	Expanded NK-treated
GNAI1	0.180594564513099	-0.0121243474140309	0.587	0.472	1	KASUMI2	0.473200783086157	Expanded NK-treated
AC011443.1	0.180667356496636	0.00203990217498822	0.004	0.001	1	KASUMI2	0.47333569095351	Expanded NK-treated
NCOA4	0.180808658150276	-0.0114742625793621	0.469	0.338	1	KASUMI2	0.473645169437228	Expanded NK-treated
CD164	0.180828119330538	-0.0107796510503383	0.513	0.385	1	KASUMI2	0.473645169437228	Expanded NK-treated
AC020917.3	0.180877260353575	0.00237023439661211	0.003	0.001	1	KASUMI2	0.473718035279426	Expanded NK-treated
NIPSNAP2	0.181148996593862	-0.00218555985504154	0.304	0.208	1	KASUMI2	0.474360260759321	Expanded NK-treated
ERICH6	0.181180725107036	0.00198978735823609	0.003	0.001	1	KASUMI2	0.474360260759321	Expanded NK-treated
AC005740.5	0.181190043964287	0.00101243699570687	0.001	0	1	KASUMI2	0.474360260759321	Expanded NK-treated
AC105429.1	0.181207882840364	-0.0135046298123972	0.025	0.024	1	KASUMI2	0.474360260759321	Expanded NK-treated
ZMAT5	0.18123551369484	-0.0466693585723542	0.193	0.16	1	KASUMI2	0.474362237401871	Expanded NK-treated
MINDY3	0.181251340563734	0.00518545743803867	0.081	0.045	1	KASUMI2	0.474362237401871	Expanded NK-treated
SLC15A2	0.181287059195446	-0.0289623404550757	0.068	0.059	1	KASUMI2	0.474399834410508	Expanded NK-treated
