gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
SLC35B1	2.476769024584e-17	0.0881718064973288	0.812	0.544	7.38745896962668e-13	NALM6	4.3384737413963e-15	Expanded NK-treated
MRPS16	2.81111163672967e-17	0.0819424110748011	0.976	0.843	8.3847026788736e-13	NALM6	4.88710701236568e-15	Expanded NK-treated
POLR2A	5.48601628276828e-17	0.0907110835948925	0.899	0.688	1.6363140766613e-12	NALM6	9.46624391717673e-15	Expanded NK-treated
PSMD12	1.03499781276871e-16	0.0858283121071922	0.914	0.71	3.08708797614523e-12	NALM6	1.77268292050653e-14	Expanded NK-treated
CXCL10	1.08343001041306e-16	0.0203808253145534	0.039	0	3.23154669205903e-12	NALM6	1.84199034564491e-14	Expanded NK-treated
MYL6	1.16528196996142e-16	0.0853099399368755	1	0.996	3.47568653180393e-12	NALM6	1.96668975981372e-14	Expanded NK-treated
CD22	1.29499775029999e-16	0.10366112722665	0.511	0.273	3.86258978981977e-12	NALM6	2.1697781146693e-14	Expanded NK-treated
SEM1	1.34159163307056e-16	0.0856458840622141	0.997	0.977	4.00156536395956e-12	NALM6	2.23167494531349e-14	Expanded NK-treated
XRCC6	1.41205699351472e-16	0.0812000747862787	0.993	0.965	4.21174239455635e-12	NALM6	2.33211298600338e-14	Expanded NK-treated
SLTM	1.8460134133131e-16	0.0926517704304872	0.968	0.851	5.50610420788899e-12	NALM6	3.02720015195926e-14	Expanded NK-treated
USP7	1.99620121829502e-16	0.0879837317396016	0.858	0.629	5.95406937380857e-12	NALM6	3.25043412460687e-14	Expanded NK-treated
MIR181A1HG	2.01077817437264e-16	0.10435675579048	0.774	0.527	5.99754806070126e-12	NALM6	3.25127363271637e-14	Expanded NK-treated
GNB1	2.06166261878927e-16	0.0827357576606111	0.976	0.847	6.14932109306277e-12	NALM6	3.2831980521379e-14	Expanded NK-treated
TP53I11	2.06456041423247e-16	0.0952019102184279	0.474	0.253	6.15796434753119e-12	NALM6	3.2831980521379e-14	Expanded NK-treated
NDUFB2	2.07312047232996e-16	0.0665160306160741	0.999	0.988	6.18349643281857e-12	NALM6	3.2831980521379e-14	Expanded NK-treated
CKS2	2.09655858406466e-16	0.136845694853614	0.985	0.921	6.25340528868965e-12	NALM6	3.29772976739748e-14	Expanded NK-treated
RPL21	2.32627683925349e-16	0.0684586333721686	1	1	6.93858592844139e-12	NALM6	3.63433601873103e-14	Expanded NK-treated
BCAS2	2.48728028103608e-16	0.0836243819310425	0.897	0.683	7.41881089424632e-12	NALM6	3.85979158779304e-14	Expanded NK-treated
RBX1	2.6036249458281e-16	0.0794904897382152	0.998	0.976	7.76583212592147e-12	NALM6	4.01340106649582e-14	Expanded NK-treated
MT-ND6	2.77095579453988e-16	-0.251264401472136	0.967	0.938	8.2649298483741e-12	NALM6	4.24304899876497e-14	Expanded NK-treated
PSMD1	3.51170465326175e-16	0.0825531140594207	0.961	0.818	1.04743614692838e-11	NALM6	5.34194967057357e-14	Expanded NK-treated
CAPRIN1	3.79807004762961e-16	0.0969689606944457	0.954	0.785	1.13285035310648e-11	NALM6	5.73980232949619e-14	Expanded NK-treated
TOMM22	3.85203578693608e-16	0.0682324784687929	0.992	0.916	1.14894671416942e-11	NALM6	5.78355658867117e-14	Expanded NK-treated
EMC6	4.11097362530454e-16	0.0761921899009979	0.965	0.818	1.22618010321958e-11	NALM6	6.13251175253494e-14	Expanded NK-treated
COPB2	4.46796281921639e-16	0.0837832570107621	0.841	0.591	1.33265927008767e-11	NALM6	6.62232284012317e-14	Expanded NK-treated
SNRNP48	4.70892650666421e-16	0.0869987478010886	0.837	0.589	1.40453150914273e-11	NALM6	6.93501902465541e-14	Expanded NK-treated
CLEC2B	5.40628061052403e-16	0.107995921827566	0.642	0.391	1.612531317701e-11	NALM6	7.91164685294536e-14	Expanded NK-treated
MT-ND4	5.71097281526597e-16	-0.116813940515887	1	1	1.70341186160938e-11	NALM6	8.30497568770942e-14	Expanded NK-treated
IGLC7	6.10356786761167e-16	-0.231585089358708	0.999	0.996	1.82051118787253e-11	NALM6	8.82041851468232e-14	Expanded NK-treated
RPL26L1	6.42152762016121e-16	0.0830572559810272	0.939	0.764	1.91534904326548e-11	NALM6	9.22227090890482e-14	Expanded NK-treated
HLA-E	6.73670946497296e-16	0.0876472755923239	0.848	0.603	2.00935833211749e-11	NALM6	9.61519729932746e-14	Expanded NK-treated
RPS20	7.25758194833413e-16	0.0854969048504337	1	1	2.16471896772962e-11	NALM6	1.02950803564038e-13	Expanded NK-treated
DPM1	1.0402238487555e-15	0.0789016855019635	0.787	0.517	3.10267567368302e-11	NALM6	1.46658877017833e-13	Expanded NK-treated
PMAIP1	1.2784960343906e-15	0.0947991883042782	0.935	0.771	3.81337012177685e-11	NALM6	1.79159910952603e-13	Expanded NK-treated
LYRM4	1.32980633001857e-15	0.092643221523855	0.888	0.662	3.96641334054639e-11	NALM6	1.85227602184876e-13	Expanded NK-treated
CLTA	1.69224583046883e-15	0.0715825141131297	0.996	0.958	5.04746163853937e-11	NALM6	2.3430004845569e-13	Expanded NK-treated
BAZ1A	1.88453872185851e-15	0.0833293971649913	0.97	0.853	5.62101364568737e-11	NALM6	2.59370859088169e-13	Expanded NK-treated
PRKCE	2.16782404833921e-15	0.0738720109277911	0.404	0.189	6.46596878898137e-11	NALM6	2.96594246424256e-13	Expanded NK-treated
AKAP13	2.23134703625439e-15	0.0897244377356297	0.709	0.458	6.65543880503598e-11	NALM6	3.03489448072201e-13	Expanded NK-treated
PSMD11	2.30896690678492e-15	0.0806366901248112	0.947	0.771	6.88695559286738e-11	NALM6	3.12210133442579e-13	Expanded NK-treated
ZMAT2	2.43247741452609e-15	0.0752942016494496	0.94	0.738	7.25535038430696e-11	NALM6	3.25561709667086e-13	Expanded NK-treated
SEC61G	2.43586955161344e-15	0.0782474094250771	0.996	0.962	7.26546811159741e-11	NALM6	3.25561709667086e-13	Expanded NK-treated
CCT2	3.42822631035229e-15	0.0809284962999204	0.998	0.984	1.02253706158878e-10	NALM6	4.55560050275664e-13	Expanded NK-treated
MTF2	3.9304288906432e-15	0.0769432933911305	0.924	0.728	1.17232902521215e-10	NALM6	5.19310724625441e-13	Expanded NK-treated
YTHDF2	3.97210683312832e-15	0.0802186915320473	0.894	0.665	1.18476030511718e-10	NALM6	5.21073164295614e-13	Expanded NK-treated
HBS1L	3.98883963672362e-15	0.0797473621929814	0.734	0.458	1.18975119844556e-10	NALM6	5.21073164295614e-13	Expanded NK-treated
PRDX1	4.01587220045522e-15	0.107448216469046	0.999	1	1.19781420122978e-10	NALM6	5.21657286623177e-13	Expanded NK-treated
MAP1B	4.22867191179873e-15	0.113747815617253	0.46	0.249	1.26128597113221e-10	NALM6	5.46231016450336e-13	Expanded NK-treated
KRT10	4.37212905385895e-15	0.0793547606994762	0.981	0.87	1.30407493289451e-10	NALM6	5.61624266574037e-13	Expanded NK-treated
PSMA5	4.41839845338687e-15	0.0720025376767057	0.984	0.899	1.3178757066917e-10	NALM6	5.64432094139288e-13	Expanded NK-treated
ADH5	4.49308735276763e-15	0.0682789060709033	0.961	0.79	1.34015316471e-10	NALM6	5.70819592146665e-13	Expanded NK-treated
MPHOSPH10	4.7472819852387e-15	0.0844593889484468	0.928	0.76	1.41597179773715e-10	NALM6	5.99817781763329e-13	Expanded NK-treated
CALD1	5.32243970297399e-15	0.109011609944123	0.525	0.3	1.58752409020605e-10	NALM6	6.68833971805242e-13	Expanded NK-treated
TPM4	5.37232038265207e-15	0.116925856003975	0.951	0.832	1.60240200053363e-10	NALM6	6.71452929122601e-13	Expanded NK-treated
TGS1	5.89111924161997e-15	0.075022193447811	0.937	0.753	1.75714413619799e-10	NALM6	7.32335801638371e-13	Expanded NK-treated
POLR2J3	7.60509669736473e-15	0.0853810310330423	0.947	0.805	2.26837219192298e-10	NALM6	9.40347838697686e-13	Expanded NK-treated
PDCL3	7.7428569035804e-15	0.0749879603017665	0.748	0.468	2.30946192863093e-10	NALM6	9.50697340392571e-13	Expanded NK-treated
MACO1	7.77103180236121e-15	0.0801092889801076	0.625	0.36	2.31786565569028e-10	NALM6	9.50697340392571e-13	Expanded NK-treated
MPC2	7.85187225572205e-15	0.088321254919348	0.909	0.726	2.34197793771422e-10	NALM6	9.55531527877923e-13	Expanded NK-treated
SFPQ	7.90076693854602e-15	0.100833710074114	0.991	0.951	2.35656175476012e-10	NALM6	9.56447817555294e-13	Expanded NK-treated
UBE2B	8.03326690084019e-15	0.076629119136605	0.909	0.708	2.3960825185136e-10	NALM6	9.6742290250639e-13	Expanded NK-treated
NDUFB3	8.60143584686466e-15	0.0669787473886399	0.993	0.946	2.56555027004432e-10	NALM6	1.03047875466945e-12	Expanded NK-treated
