sample_name,experiment,ubam1_path,ubam2_path,original_sample_name
S_6_0_S115922,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_6_0_S115922.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_6_0_S115922.bam,6
S_60_0_S106489,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_60_0_S106489.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_60_0_S106489.bam,60
S_61_0_S106492,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_61_0_S106492.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_61_0_S106492.bam,61
S_62_0_S106491,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_62_0_S106491.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_62_0_S106491.bam,62
S_63_0_S106494,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_63_0_S106494.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_63_0_S106494.bam,63
S_64_0_S106493,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_64_0_S106493.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_64_0_S106493.bam,64
S_65_0_S106496,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_65_0_S106496.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_65_0_S106496.bam,65
S_66_0_S106495,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_66_0_S106495.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_66_0_S106495.bam,66
S_67_0_S106498,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_67_0_S106498.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_67_0_S106498.bam,67
S_68_0_S106497,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_68_0_S106497.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_68_0_S106497.bam,68
S_69_0_S106500,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_69_0_S106500.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_69_0_S106500.bam,69
S_7_0_S106450,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_7_0_S106450.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_7_0_S106450.bam,7
S_7_0_S115925,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_7_0_S115925.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_7_0_S115925.bam,7
S_70_0_S106499,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_70_0_S106499.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_70_0_S106499.bam,70
S_71_0_S106502,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_71_0_S106502.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_71_0_S106502.bam,71
